system   D            wsystem.c:583  maybe_parent_dir                 [   0.00095] Also searching C:\Users\Drutol\Desktop\Shooter\
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34795] Font Resources/leadcoat.ttf loaded with pixel size 0 x 53.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34800]     ascent=48.0, descent=-8.0, height=55.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34807] added dtor for object 0024B488, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34873] Font Resources/leadcoat.ttf loaded with pixel size 0 x 54.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34878]     ascent=48.0, descent=-8.0, height=56.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34884] added dtor for object 0024E188, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.34962] Font Resources/leadcoat.ttf loaded with pixel size 0 x 55.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.34968]     ascent=49.0, descent=-8.0, height=57.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.34974] added dtor for object 00250DE8, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.35055] Font Resources/leadcoat.ttf loaded with pixel size 0 x 56.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.35060]     ascent=50.0, descent=-8.0, height=58.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.35066] added dtor for object 00253B98, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.35145] Font Resources/leadcoat.ttf loaded with pixel size 0 x 57.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.35150]     ascent=51.0, descent=-8.0, height=59.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.35155] added dtor for object 002567E8, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.35232] Font Resources/leadcoat.ttf loaded with pixel size 0 x 58.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.35237]     ascent=52.0, descent=-9.0, height=60.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.35243] added dtor for object 00259478, func 55881B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.35314] Font Resources/leadcoat.ttf loaded with pixel size 0 x 59.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.35319]     ascent=53.0, descent=-9.0, height=61.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.35324] added dtor for object 0025C108, func 55881B3B
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35612] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35618] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35621] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35625] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35628] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35632] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35635] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35639] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.35642] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.35646] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.35650] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.35654] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.35658] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.35766] Glyph 45: 21x37 (24x40)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.36271] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.36280] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.36337] Glyph 67: 16x34 (16x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.36378] Glyph 56: 19x34 (20x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.36409] Glyph 80: 19x34 (20x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.36437] Glyph 4: 9x35 (12x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.36614] Glyph 34: 19x39 (20x40)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.37918] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.37927] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.37996] Glyph 79: 20x35 (20x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.38023] Glyph 64: 8x33 (8x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.38051] Glyph 75: 18x35 (20x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.38096] Glyph 41: 18x38 (20x40)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.38920] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.38937] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.39003] Glyph 60: 17x34 (20x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.39049] Glyph 77: 19x33 (20x36)
font     D                ttf.c:406  cache_glyph                      [   0.39057] Glyph 3 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   0.39102] Glyph 59: 19x34 (20x36)
font     D                ttf.c:217  alloc_glyph_region               [   0.39144] Glyph 70: 19x34 (20x36)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.39403] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.39410] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.39479] Glyph 73: 19x33 (20x36)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.39850] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.39859] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41626] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41633] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41637] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41641] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41644] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41648] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41652] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41658] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.41662] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.41667] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.41670] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.41674] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.41678] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.41785] Glyph 34: 20x40 (20x40)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.42183] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.42189] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.42254] Glyph 79: 21x36 (24x36)
font     D                ttf.c:217  alloc_glyph_region               [   1.42281] Glyph 64: 9x34 (12x36)
font     D                ttf.c:217  alloc_glyph_region               [   1.42310] Glyph 75: 19x35 (20x36)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.42712] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.42719] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43108] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43117] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43121] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43125] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43129] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43132] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43136] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43140] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.43143] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.43147] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.43151] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.43155] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.43158] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.43289] Glyph 34: 22x42 (24x44)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.43697] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.43704] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.43778] Glyph 79: 22x37 (24x40)
font     D                ttf.c:217  alloc_glyph_region               [   1.43806] Glyph 64: 9x36 (12x36)
font     D                ttf.c:217  alloc_glyph_region               [   1.43835] Glyph 75: 19x37 (20x40)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.44247] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.44255] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44617] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44623] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44627] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44630] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44634] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44638] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44643] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44646] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.44650] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.44654] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.44657] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.44661] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.44665] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.44788] Glyph 34: 22x44 (24x44)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.45184] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.45191] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.45257] Glyph 79: 22x38 (24x40)
font     D                ttf.c:217  alloc_glyph_region               [   1.45284] Glyph 64: 9x37 (12x40)
font     D                ttf.c:217  alloc_glyph_region               [   1.45313] Glyph 75: 20x39 (20x40)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.45730] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.45737] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46103] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46109] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46113] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46117] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46120] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46126] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46129] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46133] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.46137] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.46140] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.46144] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.46148] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.46152] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.46280] Glyph 34: 23x46 (24x48)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.46829] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.46837] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.46913] Glyph 79: 23x39 (24x40)
font     D                ttf.c:217  alloc_glyph_region               [   1.46942] Glyph 64: 9x38 (12x40)
font     D                ttf.c:217  alloc_glyph_region               [   1.46971] Glyph 75: 21x40 (24x40)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.47373] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.47381] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47702] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47709] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47713] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47717] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47720] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47724] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47728] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47732] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.47735] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.47739] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.47743] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.47747] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.47750] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.47866] Glyph 34: 24x47 (24x48)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.48123] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.48138] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.48213] Glyph 79: 24x42 (24x44)
font     D                ttf.c:217  alloc_glyph_region               [   1.48242] Glyph 64: 10x41 (12x44)
font     D                ttf.c:217  alloc_glyph_region               [   1.48277] Glyph 75: 22x42 (24x44)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.48609] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.48616] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49013] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49018] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49022] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49026] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49029] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49033] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49037] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49040] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.49044] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.49047] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.49051] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.49055] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.49059] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.49180] Glyph 34: 25x49 (28x52)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.49594] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.49601] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.49676] Glyph 79: 25x44 (28x44)
font     D                ttf.c:217  alloc_glyph_region               [   1.49708] Glyph 64: 10x43 (12x44)
font     D                ttf.c:217  alloc_glyph_region               [   1.49740] Glyph 75: 22x43 (24x44)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.50137] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.50147] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50494] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50501] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50505] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50508] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50512] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50516] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50519] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50523] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.50527] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.50530] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.50534] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.50538] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.50542] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.50665] Glyph 34: 26x51 (28x52)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.51004] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.51014] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.51097] Glyph 79: 26x44 (28x44)
font     D                ttf.c:217  alloc_glyph_region               [   1.51131] Glyph 64: 10x43 (12x44)
font     D                ttf.c:217  alloc_glyph_region               [   1.51162] Glyph 75: 23x44 (24x44)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.51667] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.51676] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.51994] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.52000] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.52004] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.52008] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.52011] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.52015] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.52019] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.52022] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.52026] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.52030] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.52033] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.52037] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.52041] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.52156] Glyph 34: 26x53 (28x56)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.52565] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.52572] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.52657] Glyph 79: 27x47 (28x48)
font     D                ttf.c:217  alloc_glyph_region               [   1.52687] Glyph 64: 10x45 (12x48)
font     D                ttf.c:217  alloc_glyph_region               [   1.52719] Glyph 75: 24x46 (24x48)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.53133] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.53141] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53510] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53516] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53519] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53523] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53527] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53531] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53534] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53538] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.53541] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.53545] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.53549] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.53553] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.53557] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.53662] Glyph 34: 27x55 (28x56)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.54090] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.54097] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.54171] Glyph 79: 27x48 (28x48)
font     D                ttf.c:217  alloc_glyph_region               [   1.54202] Glyph 64: 11x47 (12x48)
font     D                ttf.c:217  alloc_glyph_region               [   1.54233] Glyph 75: 25x48 (28x48)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.54663] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.54670] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55036] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55043] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55046] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55050] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55054] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55058] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55061] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55065] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   1.55068] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   1.55072] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   1.55076] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   1.55080] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   1.55083] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.55189] Glyph 34: 27x55 (28x56)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.55599] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.55606] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.55677] Glyph 79: 28x48 (28x48)
font     D                ttf.c:217  alloc_glyph_region               [   1.55708] Glyph 64: 12x47 (12x48)
font     D                ttf.c:217  alloc_glyph_region               [   1.55740] Glyph 75: 25x48 (28x48)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.56154] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.56162] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:114  _al_run_destructors              [   1.76029] calling dtor for object 0025C108, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76046] removed dtor for object 0025C108
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.76075] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   1.76110] calling dtor for object 00259478, func 55881B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   1.76115] removed dtor for object 00259478
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   1.76140] d3d_destroy_bitmap: Release video texture failed.
